id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
8|Abbatucci|Jacques, Pierre, Jean, Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8|2|11|1857|2|10|1927
15|Abeille|Valentin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/15|14|2|1843|30|6|1902
8042|Achard|Antoine, Philippe, Adrien|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8042|12|12|1814|26|7|1890
36|Adam-Fontaine|Charles, Achille|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/36|29|11|1829|9|2|1887
7892|Allain-Targé|François, Henri, René|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7892|17|5|1832|16|7|1902
5919|Alype dit Pierre-Alype|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5919|24|2|1846|10|2|1906
105|Amagat|Louis, Amans|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/105|12|7|1847|5|7|1890
139|Andrieux|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/139|24|7|1840|27|7|1931
188|Arène|Emmanuel|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/188|1|1|1856|14|7|1908
201|Arnault|Ferdinand, Louis, Barthélemy|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/201|21|9|1837|2|7|1894
205|Arnous|Marie,Gustave, Louis, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/205|30|6|1846|11|9|1901
224|Astima|Ange-Gaétan|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/224|7|7|1826|13|6|1909
251|Audiffred|Jean-Honoré|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/251|12|12|1840|27|10|1917
17848|Augère|François, Auguste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/17848|10|5|1824|||
270|Aujame|Pierre, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/270|6|3|1834|26|7|1902
337|Baïhaut|Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/337|2|4|1843|26|3|1917
4353|Baillardel de Lareinty|Jules, Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4353|10|9|1852|26|5|1900
7894|Ballue|Arthur, Auguste, Eléonor|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7894|16|12|1835|21|2|1894
359|Baltet|Claude, Stanislas|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/359|25|11|1832|12|6|1918
376|Barascud|Antoine, Hippolythe|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/376|10|6|1819|9|4|1899
381|Barbé|François, Paul|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/381|4|2|1836|29|7|1890
410|Bargy|Nicolas, Julien, dit Amédée|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/410|22|6|1847|12|11|1892
420|Barodet|Désiré, Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/420|27|7|1823|18|4|1906
7895|Barouille|Denis, François, Alfred|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7895|30|7|1840|16|6|1898
7896|Barré|Joseph, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7896|5|11|1836|10|2|1893
9610|Barrière|Charles, Claude|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9610|26|9|1837|19|7|1910
462|Basly|Emile, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/462|29|3|1854|11|2|1928
470|Bastid|Adrien, Pierre, Rémy|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/470|1|10|1853|5|4|1903
4185|Baston de Lariboisière|Ferdinand, Marie, Auguste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4185|1|1|1856|3|5|1931
486|Baucarne-Leroux|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/486|6|1|1817|22|11|1888
538|Beauquier|Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/538|18|12|1833|12|7|1916
542|Beaussier|Joseph, Adolphe|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/542|24|1|1826|9|12|1900
